text,category,is_scam,urgency_score,threat_level
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.34,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-472-326-2344 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.975,CRITICAL
Thanks for reaching out to customer support. Your ticket #30405 has been resolved. Please rate our service.,Legitimate Support,0,0.237,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.185,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.347,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-468-479-4048 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.869,CRITICAL
Bank of America Security: Unusual login from Russia. Confirm your identity now at http://kyc-urgent-support.info to prevent account freeze.,Banking Phishing,1,0.762,CRITICAL
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_450 for instant onboarding.,Fake Job Offer,1,0.817,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.327,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.304,LOW
"WINNER! You have won the Germany Mega Millions International Draw of $11,000,000! Call +1-248-545-4218 immediately with code WIN2852 to claim.",Lottery / Prize Fraud,1,0.923,CRITICAL
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://bank-security-center.ru before expiration.",Lottery / Prize Fraud,1,0.863,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://secure-verify-auth2.xyz to get started.,Fake Job Offer,1,0.969,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.06,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.942,CRITICAL
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.93,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.165,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://claim-crypto-giveaway.net.,Lottery / Prize Fraud,1,0.761,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://claim-crypto-giveaway.net to get started.,Fake Job Offer,1,0.988,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 4688.,Legitimate Work,0,0.246,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://kyc-urgent-support.info to get started.,Fake Job Offer,1,0.918,CRITICAL
"ALERT: An unauthorized transaction of $6122 was attempted on your account. If this was not you, cancel it now at http://secure-verify-auth2.xyz.",Banking Phishing,1,0.795,CRITICAL
"WINNER! You have won the Singapore Mega Millions International Draw of $15,000,000! Call +1-582-309-5328 immediately with code WIN8184 to claim.",Lottery / Prize Fraud,1,0.88,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.26,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://claim-crypto-giveaway.net to get started.,Fake Job Offer,1,0.953,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.109,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.224,LOW
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at https://login-update-online-service.top.",Crypto Investment Scam,1,0.844,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.134,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-677-359-4569,Fake Job Offer,1,0.8,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.235,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.255,LOW
Your verification code for Apple ID is 780853. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.206,LOW
Your order #ORD-276255 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.331,LOW
Thanks for reaching out to customer support. Your ticket #49251 has been resolved. Please rate our service.,Legitimate Support,0,0.159,LOW
"ALERT: An unauthorized transaction of $1724 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.886,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.146,LOW
Package Delivery Failed: USPS tracking #US32286348P is held at terminal due to unpaid duty fees of $2.30. Pay at https://bank-security-center.ru.,Delivery Phishing,1,0.934,CRITICAL
Your order #ORD-367226 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.274,LOW
Your verification code for Apple ID is 610255. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.251,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://login-update-online-service.top to get started.,Fake Job Offer,1,0.953,HIGH
Package Delivery Failed: USPS tracking #US46844175P is held at terminal due to unpaid duty fees of $2.30. Pay at http://secure-verify-auth2.xyz.,Delivery Phishing,1,0.841,CRITICAL
Thanks for reaching out to customer support. Your ticket #67068 has been resolved. Please rate our service.,Legitimate Support,0,0.164,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://usps-delivery-portal.cc before expiration.",Lottery / Prize Fraud,1,0.751,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.224,LOW
"Dear Customer, Your debit card ending in 8503 is locked. Click http://usps-delivery-portal.cc to update KYC within 24 hours.",Banking Phishing,1,0.8,HIGH
Your monthly bank statement for account ending in 5468 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.34,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 3822.,Legitimate Work,0,0.32,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.227,LOW
Thanks for reaching out to customer support. Your ticket #82924 has been resolved. Please rate our service.,Legitimate Support,0,0.062,LOW
Thanks for reaching out to customer support. Your ticket #73661 has been resolved. Please rate our service.,Legitimate Support,0,0.22,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.309,LOW
Your order #ORD-649105 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.124,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.219,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.123,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-985-335-3574,Fake Job Offer,1,0.756,HIGH
Your monthly bank statement for account ending in 4300 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.09,LOW
"Dear Customer, Your debit card ending in 3547 is locked. Click https://bank-security-center.ru to update KYC within 24 hours.",Banking Phishing,1,0.831,CRITICAL
Your monthly bank statement for account ending in 1897 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.127,LOW
Thanks for reaching out to customer support. Your ticket #23886 has been resolved. Please rate our service.,Legitimate Support,0,0.258,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.198,LOW
Your monthly bank statement for account ending in 3410 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.088,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.102,LOW
Your order #ORD-196973 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.203,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.271,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at http://claim-crypto-giveaway.net to avoid service cancellation.,Subscription Phishing,1,0.757,HIGH
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.841,HIGH
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_958 for instant onboarding.,Fake Job Offer,1,0.768,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.144,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.081,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.248,LOW
"WINNER! You have won the United Kingdom Mega Millions International Draw of $13,000,000! Call +1-552-769-6669 immediately with code WIN2225 to claim.",Lottery / Prize Fraud,1,0.898,HIGH
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://secure-verify-auth2.xyz before expiration.",Lottery / Prize Fraud,1,0.976,CRITICAL
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://claim-crypto-giveaway.net.,Lottery / Prize Fraud,1,0.878,CRITICAL
Netflix Member Alert: We could not process your latest payment. Update billing details at https://bank-security-center.ru to avoid service cancellation.,Subscription Phishing,1,0.921,HIGH
"ALERT: An unauthorized transaction of $3265 was attempted on your account. If this was not you, cancel it now at http://kyc-urgent-support.info.",Banking Phishing,1,0.754,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.059,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-850-743-8825,Fake Job Offer,1,0.872,HIGH
"ALERT: An unauthorized transaction of $7619 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.899,HIGH
Package Delivery Failed: USPS tracking #US52170181P is held at terminal due to unpaid duty fees of $2.30. Pay at http://secure-verify-auth2.xyz.,Delivery Phishing,1,0.808,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.174,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.282,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://bank-security-center.ru.,Lottery / Prize Fraud,1,0.984,CRITICAL
URGENT: Your Bank of America account has been suspended due to suspicious activity. Verify immediately at http://usps-delivery-portal.cc to avoid permanent deactivation.,Banking Phishing,1,0.752,CRITICAL
Your verification code for Microsoft is 502107. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.144,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.238,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.105,LOW
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 4.22 ETH to 0x22f8d09 and start earning.,Crypto Investment Scam,1,0.872,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://claim-crypto-giveaway.net to get started.,Fake Job Offer,1,0.917,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.281,LOW
"Dear Customer, Your debit card ending in 7654 is locked. Click http://usps-delivery-portal.cc to update KYC within 24 hours.",Banking Phishing,1,0.853,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 9508.,Legitimate Work,0,0.069,LOW
"WINNER! You have won the Germany Mega Millions International Draw of $9,000,000! Call +1-444-544-7637 immediately with code WIN2421 to claim.",Lottery / Prize Fraud,1,0.927,HIGH
Thanks for reaching out to customer support. Your ticket #39380 has been resolved. Please rate our service.,Legitimate Support,0,0.309,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_917 for instant onboarding.,Fake Job Offer,1,0.887,CRITICAL
Thanks for reaching out to customer support. Your ticket #33837 has been resolved. Please rate our service.,Legitimate Support,0,0.225,LOW
Chase Security: Unusual login from Singapore. Confirm your identity now at https://bank-security-center.ru to prevent account freeze.,Banking Phishing,1,0.921,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.183,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 2538.,Legitimate Work,0,0.132,LOW
Your verification code for Amazon is 944207. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.244,LOW
"WINNER! You have won the United Kingdom Mega Millions International Draw of $9,000,000! Call +1-996-779-7824 immediately with code WIN8676 to claim.",Lottery / Prize Fraud,1,0.757,CRITICAL
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_259.",Crypto Investment Scam,1,0.837,HIGH
"Dear Customer, Your debit card ending in 4179 is locked. Click http://secure-verify-auth2.xyz to update KYC within 24 hours.",Banking Phishing,1,0.984,CRITICAL
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at http://usps-delivery-portal.cc.",Crypto Investment Scam,1,0.975,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.067,LOW
URGENT: Your Chase account has been suspended due to suspicious activity. Verify immediately at http://secure-verify-auth2.xyz to avoid permanent deactivation.,Banking Phishing,1,0.935,CRITICAL
Package Delivery Failed: USPS tracking #US71233307P is held at terminal due to unpaid duty fees of $2.30. Pay at http://usps-delivery-portal.cc.,Delivery Phishing,1,0.766,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://claim-crypto-giveaway.net to get started.,Fake Job Offer,1,0.964,CRITICAL
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.272,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.882,CRITICAL
Bank of America Security: Unusual login from Russia. Confirm your identity now at http://secure-verify-auth2.xyz to prevent account freeze.,Banking Phishing,1,0.82,CRITICAL
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.098,LOW
Your order #ORD-432025 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.253,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://secure-verify-auth2.xyz before expiration.",Lottery / Prize Fraud,1,0.963,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 1737.,Legitimate Work,0,0.344,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.251,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://bank-security-center.ru.,Lottery / Prize Fraud,1,0.898,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.346,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://secure-verify-auth2.xyz to get started.,Fake Job Offer,1,0.797,CRITICAL
Your monthly bank statement for account ending in 7983 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.13,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_619 for instant onboarding.,Fake Job Offer,1,0.894,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 6002.,Legitimate Work,0,0.273,LOW
Capital One Security: Unusual login from United States. Confirm your identity now at https://login-update-online-service.top to prevent account freeze.,Banking Phishing,1,0.792,CRITICAL
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://login-update-online-service.top to get started.,Fake Job Offer,1,0.894,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at http://kyc-urgent-support.info to avoid service cancellation.,Subscription Phishing,1,0.98,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.238,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://bank-security-center.ru before expiration.",Lottery / Prize Fraud,1,0.988,CRITICAL
Your verification code for Apple ID is 813255. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.098,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.108,LOW
Thanks for reaching out to customer support. Your ticket #93899 has been resolved. Please rate our service.,Legitimate Support,0,0.321,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.341,LOW
URGENT: Your State Bank account has been suspended due to suspicious activity. Verify immediately at http://claim-crypto-giveaway.net to avoid permanent deactivation.,Banking Phishing,1,0.842,HIGH
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.139,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-935-168-4352,Fake Job Offer,1,0.866,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 6500.,Legitimate Work,0,0.341,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://usps-delivery-portal.cc before expiration.",Lottery / Prize Fraud,1,0.984,HIGH
Your verification code for Microsoft is 551107. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.285,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.306,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.179,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_201.",Crypto Investment Scam,1,0.83,CRITICAL
Your order #ORD-486995 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.166,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.064,LOW
Package Delivery Failed: USPS tracking #US20343038P is held at terminal due to unpaid duty fees of $2.30. Pay at https://login-update-online-service.top.,Delivery Phishing,1,0.955,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.303,LOW
Capital One Security: Unusual login from Germany. Confirm your identity now at http://claim-crypto-giveaway.net to prevent account freeze.,Banking Phishing,1,0.879,CRITICAL
Your verification code for Instagram is 847197. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.056,LOW
Your order #ORD-930741 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.126,LOW
Your verification code for Amazon is 742285. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.084,LOW
Your order #ORD-868873 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.342,LOW
"Dear Customer, Your debit card ending in 9173 is locked. Click http://kyc-urgent-support.info to update KYC within 24 hours.",Banking Phishing,1,0.904,CRITICAL
Thanks for reaching out to customer support. Your ticket #29328 has been resolved. Please rate our service.,Legitimate Support,0,0.188,LOW
